Id,Symbol,Name,Display Symbol,Exchange,Portfolio,Currency,Last Traded Price,Shares Owned,Cost Per Share,Commission,Transaction Date,Transaction Time,Purchase Exchange Rate,Purchase Exchange Currencies,Type,Accounting,Accounting Execution Ids,Notes,OutgoingCashLink
,,,,,,,,,,,,,,,,,,,
"1","ACME","Acme Corporation",,"NMS","Main","USD","65.00",,,,,,,,,,,,
"2","ACME","Acme Corporation",,"NMS","Main","USD","65.00","100","50.00","1.00","2024-03-15 GMT+0800","09:31:00",,,"Buy",,,"initial position","10"
"3","ACME","Acme Corporation",,"NMS","Main","USD","65.00","2","1","0.00","2024-06-01 GMT+0800","00:00:00",,,"Split",,,"2-for-1 split: shares:cost = new:old",
"4","ACME","Acme Corporation",,"NMS","Main","USD","65.00","45.00","0","0.00","2024-09-10 GMT+0800","00:00:00",,,"Dividend",,,"quarterly dividend - amount, NOT share count","11"
"5","ACME","Acme Corporation",,"NMS","Main","USD","65.00","50","62.00","1.00","2025-01-20 GMT+0800","14:02:00",,,"Sell","FIFO",,"trim",
,,,,,,,,,,,,,,,,,,,
"6","GLOBEX.L","Globex ETF",,"LSE","Main","GBP","14.20",,,,,,,,,,,,
"7","GLOBEX.L","Globex ETF",,"LSE","Main","GBP","14.20","300","12.50","2.00","2024-04-02 GMT+0800","16:10:00",,,"Buy",,,,
"8","GLOBEX.L","Globex ETF",,"LSE","Main","GBP","14.20","0","15.10","2.00","2025-02-14 GMT+0800","16:45:00",,,"Sell All","FIFO",,"THE TRAP: shares is 0 but 300 were held. Subtracting leaves a phantom 300.",
,,,,,,,,,,,,,,,,,,,
"9","USD=CASH","US Dollar",,,"Main","USD","1",,,,,,,,,,,,
"10","USD=CASH","US Dollar",,,"Main","USD","1","5001.00","1","0.00","2024-03-15 GMT+0800","09:31:00",,,"Sell",,,"cash leg of Id 2 (100 x 50.00 + 1.00 commission)",
"11","USD=CASH","US Dollar",,,"Main","USD","1","45.00","1","0.00","2024-09-10 GMT+0800","00:00:00",,,"Buy",,,"cash leg of Id 4",
"12","USD=CASH","US Dollar",,,"Main","USD","1","12.34","1","0.00","2024-12-31 GMT+0800","00:00:00",,,"Interest",,,"deposit interest - amount, does NOT move share count",
,,,,,,,,,,,,,,,,,,,
"13","EURUSD=X","EUR/USD",,,"Margin","USD","1.0920",,,,,,,,,,,,
"14","EURUSD=X","EUR/USD",,,"Margin","USD","1.0920","100000","1.0850","0.00","2024-05-06 GMT+0800","10:00:00",,,"Sell Short",,,"borrowed EUR 100k - liability recorded as a short FX pair",
"15","EURUSD=X","EUR/USD",,,"Margin","USD","1.0920","-250","0","0.00","2024-11-30 GMT+0800","00:00:00",,,"Dividend Reinvest",,,"interest capitalised into principal - negative shares, direction is +1",
"16","EURUSD=X","EUR/USD",,,"Margin","USD","1.0920","30000","1.0710","0.00","2025-03-11 GMT+0800","11:20:00",,,"Buy to Cover","FIFO",,"partial repayment",
,,,,,,,,,,,,,,,,,,,
"17","^GSPC","S&P 500",,"SNP","Main","USD","5200.00",,,,,,,,,,,,
"18","^GSPC","S&P 500",,"SNP","Main","USD","5200.00","250","4800.00","0.00","2024-07-08 GMT+0800","21:35:00",,,"Buy",,,"5 contracts x USD 50 per point = 250. shares x price = notional.",
"19","^GSPC","S&P 500",,"SNP","Main","USD","5200.00","-85.50","0","0.00","2024-12-19 GMT+0800","00:00:00",,,"Dividend",,,"roll cost booked as a negative dividend",
,,,,,,,,,,,,,,,,,,,
"20","CHFUSD=X","CHF/USD",,,"Margin","USD","1.1450",,,,,,,,,,,,
"21","CHFUSD=X","CHF/USD",,,"Margin","USD","1.1450","50000","1.1300","0.00","2024-08-14 GMT+0800","09:05:00",,,"Sell Short",,,"borrowed CHF 50k",
"22","CHFUSD=X","CHF/USD",,,"Margin","USD","1.1450","0","1.1210","0.00","2025-02-28 GMT+0800","15:40:00",,,"Buy to Cover All","FIFO",,"THE SAME TRAP on the short side: shares is 0, the whole 50k was repaid.",
